COMMUNE_CODE,PARC_2011,PARC_2022,evo_11_22
01420,0,5,inf
01421,0,3,inf
01422,1,10,900.0
01423,0,3,inf
01424,0,10,inf
01425,0,1,inf
01426,0,9,inf
01427,1,37,3600.0
01430,0,3,inf
01431,0,1,inf
01432,0,3,inf
01433,0,1,inf
01434,0,4,inf
01435,0,17,inf
01436,0,3,inf
01437,0,2,inf
01439,0,1,inf
01443,2,7,250.0
01444,1,3,200.0
01445,0,1,inf
01446,0,6,inf
01447,1,2,100.0
01448,1,0,-100.0
01449,0,1,inf
01450,0,17,inf
01451,3,47,1466.6666666666665
01452,0,1,inf
01453,0,3,inf
01454,0,4,inf
01456,0,1,inf
01457,0,10,inf
02001,0,3,inf
02002,0,1,inf
02003,0,3,inf
02005,0,0,
02006,0,6,inf
02007,0,2,inf
02008,0,1,inf
02010,0,1,inf
02011,0,7,inf
02013,0,1,inf
02014,0,2,inf
02018,0,2,inf
02019,0,1,inf
02022,0,1,inf
02025,0,2,inf
02028,0,3,inf
02031,0,0,
02035,0,2,inf
02037,0,1,inf
02041,0,1,inf
02042,0,1,inf
02047,0,1,inf
02048,0,2,inf
02049,0,3,inf
02051,0,1,inf
02054,0,4,inf
02057,0,2,inf
02058,0,3,inf
02059,0,2,inf
02064,0,14,inf
02065,0,1,inf
02067,0,0,
02070,0,1,inf
02071,0,4,inf
02072,0,1,inf
02073,0,0,
02074,0,3,inf
02075,0,1,inf
02080,0,2,inf
02081,0,2,inf
02083,1,0,-100.0
02085,0,3,inf
02086,0,2,inf
02087,0,1,inf
02089,0,3,inf
02093,0,7,inf
02094,0,3,inf
02095,0,10,inf
02097,0,1,inf
02098,0,1,inf
02101,0,1,inf
02102,0,0,
02103,0,2,inf
02104,0,1,inf
02106,0,4,inf
02109,0,1,inf
02110,0,7,inf
02111,0,2,inf
02114,0,5,inf
02118,0,0,
02119,0,1,inf
02120,0,1,inf
02121,0,1,inf
02123,0,1,inf
02125,1,0,-100.0
02126,0,2,inf
02128,0,13,inf
02131,0,5,inf
02132,0,1,inf
02133,0,1,inf
02134,0,3,inf
02138,0,1,inf
02140,0,2,inf
02141,0,5,inf
02142,0,3,inf
02143,0,1,inf
02144,0,1,inf
02145,0,2,inf
02149,0,1,inf
02153,0,2,inf
02155,0,0,
02156,1,0,-100.0
02157,0,3,inf
02158,0,1,inf
02162,0,0,
02163,0,3,inf
02165,0,3,inf
02166,1,1,0.0
02167,0,1,inf
02168,2,41,1950.0
02169,0,1,inf
02172,0,2,inf
02173,0,29,inf
02174,0,1,inf
02177,0,1,inf
02178,0,0,
02180,0,1,inf
02183,0,1,inf
02186,0,6,inf
02187,0,4,inf
02188,0,1,inf
02190,0,2,inf
02191,0,1,inf
02192,0,1,inf
02195,0,3,inf
02196,0,2,inf
02198,0,1,inf
02199,0,1,inf
02200,0,1,inf
02203,0,3,inf
02207,0,0,
02209,0,1,inf
02211,0,1,inf
02212,0,3,inf
02213,0,1,inf
02215,0,0,
02216,0,1,inf
02217,0,2,inf
02218,0,2,inf
02220,0,1,inf
02226,0,5,inf
02228,0,1,inf
02230,0,1,inf
02231,0,2,inf
02232,0,2,inf
02233,0,1,inf
02236,0,0,
02238,0,1,inf
02239,0,3,inf
02242,0,2,inf
02243,0,4,inf
02245,0,7,inf
02246,0,0,
02248,0,1,inf
02257,0,2,inf
02258,0,1,inf
02260,0,1,inf
02261,0,2,inf
02263,0,1,inf
02264,0,2,inf
02267,0,3,inf
02268,0,3,inf
02270,0,2,inf
02279,0,2,inf
02280,0,1,inf
02282,0,1,inf
02283,0,1,inf
02286,0,2,inf
02287,0,5,inf
02289,0,1,inf
02290,0,11,inf
02291,0,5,inf
02293,0,2,inf
02294,0,7,inf
02295,0,2,inf
02296,0,3,inf
02298,0,1,inf
02302,0,1,inf
02303,0,7,inf
02304,0,12,inf
02305,1,12,1100.0
02307,1,1,0.0
02308,0,1,inf
02312,0,3,inf
02313,0,1,inf
02315,0,1,inf
02316,1,0,-100.0
02317,0,1,inf
02319,0,0,
02321,1,2,100.0
02322,0,2,inf
02324,0,2,inf
02327,0,1,inf
02328,0,2,inf
02329,0,1,inf
02330,0,1,inf
02334,1,8,700.0
02338,0,3,inf
02339,0,1,inf
02340,0,20,inf
02346,0,2,inf
02347,0,3,inf
02352,0,3,inf
02355,0,3,inf
02358,0,2,inf
02359,0,6,inf
02360,0,16,inf
02361,0,7,inf
02363,0,1,inf
02366,0,1,inf
02370,0,1,inf
02371,0,6,inf
02372,0,2,inf
02373,0,9,inf
02379,0,0,
02381,0,18,inf
02382,0,2,inf
02383,0,7,inf
02387,0,2,inf
02388,0,0,
02389,0,1,inf
02390,0,1,inf
02397,0,3,inf
02403,0,1,inf
02408,3,82,2633.333333333333
02410,0,1,inf
02411,0,0,
02414,0,0,
02415,0,0,
02419,0,1,inf
02420,0,4,inf
02422,0,3,inf
02423,0,0,
02424,0,1,inf
02426,0,3,inf
02430,0,1,inf
02431,0,1,inf
02432,0,2,inf
02433,0,2,inf
02438,0,1,inf
02439,0,0,
02441,0,2,inf
02443,0,1,inf
02447,0,1,inf
02449,0,1,inf
02453,0,1,inf
02458,0,1,inf
02460,0,1,inf
02461,0,1,inf
02465,0,1,inf
02468,0,7,inf
02469,0,2,inf
02471,0,0,
02472,0,1,inf
02474,0,1,inf
02477,0,8,inf
02478,0,0,
02480,0,1,inf
02481,0,2,inf
02482,0,1,inf
02483,1,1,0.0
02484,0,3,inf
02487,0,0,
02489,0,3,inf
02493,0,1,inf
02495,1,4,300.0
02497,0,5,inf
02498,0,1,inf
02502,0,1,inf
02503,0,1,inf
02504,0,2,inf
02506,0,1,inf
02508,0,1,inf
02509,0,1,inf
02513,0,1,inf
02514,0,3,inf
02518,0,1,inf
02519,0,1,inf
02520,0,1,inf
02521,0,4,inf
02523,0,1,inf
02524,0,1,inf
02525,0,5,inf
02527,0,1,inf
02528,0,3,inf
02529,0,1,inf
02539,0,0,
02540,0,5,inf
02543,1,2,100.0
02544,1,1,0.0
02546,0,1,inf
02552,0,1,inf
02553,0,1,inf
02554,0,3,inf
02555,1,3,200.0
02558,0,4,inf
02559,0,1,inf
02561,0,1,inf
02562,0,1,inf
02564,0,1,inf
02566,0,3,inf
02568,0,2,inf
02570,0,1,inf
02571,0,4,inf
02572,0,1,inf
02574,0,3,inf
02575,0,4,inf
02576,0,0,
02580,0,1,inf
02587,0,1,inf
02589,0,2,inf
02593,0,5,inf
02594,0,0,
02595,0,2,inf
02596,0,1,inf
02598,0,7,inf
02599,0,1,inf
02600,0,1,inf
02601,0,1,inf
02602,0,1,inf
02606,0,1,inf
02610,0,4,inf
02612,0,1,inf
02613,0,1,inf
02615,0,2,inf
02617,0,1,inf
02618,0,1,inf
02620,0,1,inf
02621,0,3,inf
02624,0,1,inf
02626,0,1,inf
02631,0,1,inf
02633,0,1,inf
02638,0,1,inf
02640,0,1,inf
02643,0,4,inf
02644,0,3,inf
02645,0,1,inf
02648,0,4,inf
02649,0,1,inf
02659,0,4,inf
02661,0,1,inf
02664,0,1,inf
02667,0,1,inf
02668,0,2,inf
02671,0,1,inf
02673,0,3,inf
02676,0,5,inf
02677,0,0,
02680,0,2,inf
02681,0,1,inf
02682,0,1,inf
02684,1,2,100.0
02686,0,1,inf
02689,0,1,inf
02690,0,1,inf
02691,1,232,23100.0
02694,0,2,inf
02699,0,3,inf
02701,0,3,inf
02702,0,1,inf
02706,0,3,inf
02707,0,1,inf
02708,0,0,
02709,0,0,
02710,0,1,inf
02716,0,1,inf
02718,0,1,inf
02719,0,1,inf
02720,0,2,inf
02721,0,1,inf
02722,1,190,18900.0
02726,0,1,inf
02728,0,1,inf
02729,0,2,inf
02734,0,1,inf
02738,1,19,1800.0
02739,0,3,inf
02741,0,1,inf
02742,0,1,inf
02744,0,1,inf
02746,0,1,inf
02747,0,1,inf
02748,0,3,inf
02749,1,1,0.0
02750,0,2,inf
02753,0,0,
02754,0,1,inf
02755,0,2,inf
02756,0,6,inf
02757,0,1,inf
02758,0,3,inf
02765,0,1,inf
02767,1,0,-100.0
02768,0,2,inf
02769,0,2,inf
02770,0,2,inf
02775,0,3,inf
02776,0,1,inf
02779,0,0,
02780,0,2,inf
02781,0,3,inf
02785,0,3,inf
02789,0,5,inf
02790,0,2,inf
02791,0,2,inf
02792,0,0,
02794,0,0,
02798,0,4,inf
02800,0,0,
02801,0,1,inf
02804,0,2,inf
02805,0,18,inf
02807,0,2,inf
02810,1,379,37800.0
02813,0,1,inf
02815,0,1,inf
02816,0,1,inf
02818,0,4,inf
02820,0,7,inf
02821,1,3,200.0
02822,0,1,inf
02824,0,1,inf
02826,0,1,inf
02827,0,1,inf
02830,0,1,inf
02831,0,1,inf
02832,0,1,inf
03001,1,12,1100.0
03003,0,0,
03006,0,2,inf
03007,0,1,inf
03008,0,1,inf
03009,0,0,
03010,0,0,
03011,0,1,inf
03012,0,1,inf
03013,3,32,966.6666666666666
03015,0,1,inf
03016,0,1,inf
03018,0,1,inf
03019,0,4,inf
03020,0,1,inf
03022,0,1,inf
03023,2,61,2950.0
03026,0,1,inf
03027,0,1,inf
03028,0,1,inf
03029,0,2,inf
03031,0,1,inf
03032,0,1,inf
03036,0,3,inf
03038,1,4,300.0
03039,0,0,
03040,0,2,inf
03041,0,2,inf
03042,0,1,inf
03043,1,1,0.0
03044,0,2,inf
03045,0,4,inf
03046,0,2,inf
03048,0,1,inf
03049,0,1,inf
03051,0,1,inf
03052,0,2,inf
03053,0,1,inf
03054,0,1,inf
03055,0,2,inf
03056,0,1,inf
03059,0,0,
03060,1,21,2000.0
03061,0,2,inf
03062,0,0,
03063,0,5,inf
03065,1,1,0.0
03069,0,1,inf
03074,0,2,inf
03076,0,1,inf
03077,0,1,inf
03078,0,1,inf
03079,0,0,
03080,0,1,inf
03081,0,0,
03082,0,9,inf
03083,0,1,inf
03084,0,5,inf
03087,0,2,inf
03088,0,3,inf
03089,0,1,inf
03092,0,0,
03093,0,7,inf
03094,2,21,950.0
03095,7,35,400.0
03098,2,9,350.0
03101,2,31,1450.0
03102,0,5,inf
03104,0,3,inf
03105,0,1,inf
03106,0,1,inf
03107,0,4,inf
03108,0,1,inf
03109,0,2,inf
03110,0,4,inf
03111,0,2,inf
03112,0,2,inf
03113,0,1,inf
03114,0,1,inf
03118,2,18,800.0
03119,0,2,inf
03121,0,1,inf
03124,0,0,
03126,0,6,inf
03127,0,1,inf
03128,0,4,inf
03131,0,1,inf
03132,0,1,inf
03133,0,3,inf
03136,0,1,inf
03138,0,6,inf
03140,1,2,100.0
03144,0,1,inf
03145,0,1,inf
03148,0,0,
03149,0,0,
03151,0,1,inf
03155,0,1,inf
03156,0,2,inf
03157,0,4,inf
03158,0,0,
03159,0,4,inf
03160,0,1,inf
03161,0,3,inf
03162,0,1,inf
03163,0,1,inf
03165,1,5,400.0
03168,0,1,inf
03173,0,1,inf
03174,0,2,inf
03175,0,1,inf
03178,0,1,inf
03179,0,1,inf
03180,0,3,inf
03183,0,0,
03184,0,1,inf
03185,12,99,725.0
03186,0,5,inf
03187,0,0,
03190,6,54,800.0
03191,0,1,inf
03195,1,9,800.0
03196,0,1,inf
03197,0,1,inf
03200,0,9,inf
03202,0,1,inf
03204,0,1,inf
03208,0,1,inf
03211,0,11,inf
03212,0,4,inf
03214,0,1,inf
03215,0,1,inf
03216,0,1,inf
03218,0,1,inf
03221,0,3,inf
03230,0,4,inf
03232,0,1,inf
03234,0,1,inf
03235,1,0,-100.0
03236,0,5,inf
03237,0,2,inf
03238,0,1,inf
03241,0,0,
03246,0,0,
03247,0,2,inf
03251,0,0,
03252,0,5,inf
03253,0,1,inf
03254,0,13,inf
03256,0,1,inf
03257,0,2,inf
03258,3,8,166.66666666666669
03259,0,1,inf
03260,0,1,inf
03262,0,5,inf
03264,1,6,500.0
03267,0,1,inf
03268,0,1,inf
03271,1,4,300.0
03273,0,2,inf
03274,0,1,inf
03275,1,0,-100.0
03277,0,0,
03279,0,1,inf
03280,0,1,inf
03283,0,1,inf
03284,0,1,inf
03285,0,1,inf
03286,0,12,inf
03287,0,1,inf
03288,1,0,-100.0
03290,0,3,inf
03292,0,2,inf
03297,0,3,inf
03298,0,6,inf
03299,1,0,-100.0
03300,0,1,inf
03304,0,8,inf
03305,0,3,inf
03306,0,2,inf
03307,0,1,inf
03310,6,83,1283.3333333333335
03311,0,2,inf
03312,0,1,inf
03314,2,10,400.0
03315,1,0,-100.0
03316,0,1,inf
03319,0,1,inf
03320,0,2,inf
03321,2,36,1700.0
04001,1,8,700.0
04006,0,5,inf
04008,0,1,inf
04012,0,1,inf
04013,0,1,inf
04016,0,0,
04018,1,5,400.0
04019,1,6,500.0
04023,0,1,inf
04025,0,0,
04027,0,2,inf
04028,0,1,inf
04031,0,0,
04032,0,2,inf
04033,0,1,inf
04034,1,5,400.0
04035,0,2,inf
04036,0,2,inf
04039,0,4,inf
04041,0,1,inf
04043,0,1,inf
04045,0,2,inf
04046,0,1,inf
04047,1,3,200.0
04049,3,22,633.3333333333333
04051,0,1,inf
04053,0,1,inf
04057,0,1,inf
04058,0,1,inf
04059,0,1,inf
04061,0,2,inf
04062,0,2,inf
04063,0,1,inf
04065,0,4,inf
04066,0,1,inf
04068,1,1,0.0
04070,5,33,560.0
04073,0,1,inf
04075,0,3,inf
04076,0,2,inf
04079,0,4,inf
04081,0,4,inf
04084,1,5,400.0
04086,1,2,100.0
04087,0,0,
04088,1,14,1300.0
04090,0,0,
04094,3,19,533.3333333333333
04096,1,2,100.0
04097,0,0,
04101,0,2,inf
04104,0,2,inf
04106,0,1,inf
04108,0,9,inf
04109,0,1,inf
04110,0,4,inf
04111,0,5,inf
04112,7,130,1757.1428571428573
04115,0,1,inf
04116,1,14,1300.0
04118,0,2,inf
04121,1,1,0.0
04122,0,0,
04123,1,8,700.0
04124,0,1,inf
04126,0,3,inf
04127,0,1,inf
04128,0,4,inf
04132,0,1,inf
04133,0,1,inf
04134,0,3,inf
04135,0,5,inf
04137,0,0,
04138,0,1,inf
04139,0,4,inf
04142,0,0,
04143,0,28,inf
04144,0,1,inf
04145,2,1,-50.0
04149,0,9,inf
04151,0,1,inf
04152,4,28,600.0
04154,0,1,inf
04157,0,1,inf
04158,0,1,inf
04160,0,7,inf
04163,0,3,inf
04164,0,1,inf
04166,0,7,inf
04167,0,4,inf
04172,0,5,inf
04173,0,5,inf
04176,0,1,inf
04178,1,4,300.0
04182,0,1,inf
04183,0,0,
04188,0,1,inf
04189,0,1,inf
04190,0,1,inf
04192,1,2,100.0
04193,0,1,inf
04194,1,0,-100.0
04197,0,4,inf
04199,0,1,inf
04200,0,6,inf
04203,0,0,
04205,0,5,inf
04206,1,1,0.0
04208,0,1,inf
04209,8,39,387.5
04210,0,1,inf
04216,0,3,inf
04217,0,2,inf
04219,1,1,0.0
04220,0,1,inf
04222,0,1,inf
04224,0,1,inf
04226,0,8,inf
04228,1,0,-100.0
04229,0,1,inf
04230,2,10,400.0
04231,1,3,200.0
04233,0,1,inf
04234,0,2,inf
04240,0,2,inf
04241,0,0,
04242,3,18,500.0
04244,1,10,900.0
04245,0,23,inf
05001,0,2,inf
05003,0,0,
05004,0,6,inf
05006,0,4,inf
05007,0,3,inf
05010,2,1,-50.0
05012,0,3,inf
05013,0,1,inf
05014,0,1,inf
05016,1,4,300.0
05017,0,6,inf
05018,0,1,inf
05023,5,56,1019.9999999999999
05024,0,2,inf
05026,0,1,inf
05029,0,5,inf
05032,0,1,inf
05033,0,1,inf
05035,0,1,inf
05036,0,4,inf
05037,1,3,200.0
05038,1,3,200.0
05039,0,1,inf
05040,3,20,566.6666666666667
05044,0,0,
05045,1,5,400.0
05046,4,31,675.0
05048,0,1,inf
05050,0,1,inf
05052,0,4,inf
05053,0,1,inf
05054,0,3,inf
05055,1,0,-100.0
05056,0,1,inf
05057,1,2,100.0
05058,0,0,
05059,0,1,inf
05060,0,0,
05061,34,215,532.3529411764706
05062,1,1,0.0
05063,0,2,inf
05065,1,8,700.0
05070,1,13,1200.0
05071,0,3,inf
05072,0,1,inf
05073,0,3,inf
05074,0,1,inf
05075,0,3,inf
05078,0,1,inf
05079,0,4,inf
05084,0,1,inf
05085,0,6,inf
05086,0,1,inf
05087,1,2,100.0
05090,1,1,0.0
05092,0,5,inf
05093,0,1,inf
05095,0,1,inf
05096,1,4,300.0
05097,1,3,200.0
05098,0,3,inf
05100,0,6,inf
05101,0,6,inf
05103,0,1,inf
05104,0,1,inf
05106,0,3,inf
05107,0,2,inf
05108,0,1,inf
05109,0,2,inf
05110,0,1,inf
05111,0,0,
05113,0,0,
05114,0,1,inf
05115,0,3,inf
05118,0,2,inf
05119,0,2,inf
05121,1,1,0.0
05122,0,5,inf
05123,1,5,400.0
05124,0,2,inf
05127,0,1,inf
05128,0,2,inf
05129,0,1,inf
05130,0,2,inf
05132,0,5,inf
05133,0,6,inf
05134,0,2,inf
05136,0,2,inf
05139,0,5,inf
05142,0,1,inf
05145,0,3,inf
05147,0,1,inf
05148,0,1,inf
05149,0,3,inf
05151,0,2,inf
05152,0,2,inf
05153,0,2,inf
05154,0,0,
05156,0,1,inf
05157,0,1,inf
05161,2,3,50.0
05162,0,6,inf
05163,0,1,inf
05164,0,7,inf
05165,0,1,inf
05166,0,6,inf
05168,1,3,200.0
05170,1,6,500.0
05172,0,1,inf
05173,0,1,inf
05174,1,3,200.0
05177,0,5,inf
05178,1,1,0.0
05179,1,11,1000.0
05180,0,2,inf
05183,0,5,inf
05184,0,1,inf
06003,0,3,inf
06004,40,442,1005.0000000000001
06006,0,24,inf
06007,3,28,833.3333333333334
06009,0,1,inf
06010,3,29,866.6666666666666
06011,5,25,400.0
06012,4,46,1050.0
06013,0,1,inf
06015,2,7,250.0
06016,0,1,inf
06017,0,2,inf
06018,24,128,433.3333333333333
06019,0,11,inf
06021,0,2,inf
06023,0,2,inf
06025,0,4,inf
06026,1,16,1500.0
06027,27,321,1088.888888888889
06029,54,488,803.7037037037036
06030,20,239,1095.0
06031,1,6,500.0
06032,3,22,633.3333333333333
06033,9,104,1055.5555555555554
06034,0,10,inf
06035,2,4,100.0
06036,0,3,inf
06037,0,1,inf
06038,3,35,1066.6666666666665
06039,2,2,0.0
06041,0,5,inf
06044,2,72,3500.0
06046,4,27,575.0
06048,3,32,966.6666666666666
06049,0,0,
06050,0,1,inf
06051,0,1,inf
06052,0,1,inf
06054,0,14,inf
06057,0,3,inf
06058,0,1,inf
06059,6,31,416.6666666666667
06060,0,15,inf
06064,2,21,950.0
06065,4,45,1025.0
06066,0,5,inf
06067,0,1,inf
06068,0,3,inf
06069,14,249,1678.5714285714284
06070,1,0,-100.0
06073,0,3,inf
06074,0,4,inf
06075,2,15,650.0
06077,0,1,inf
06078,0,1,inf
