COMMUNE_CODE,Diesel,Diesel HNR,Electrique et hydrogène,Essence,Essence HNR,Gaz et inconnu,Hybride rechargeable,part_essence,part_diesel,part_electrique,carburant_dominant
01050,142.0,1.0,1.0,65.0,3.0,1.0,2.0,30.23255813953488,66.04651162790698,0.46511627906976744,diesel
01051,34.0,0.0,0.0,24.0,2.0,2.0,0.0,38.70967741935484,54.83870967741935,0.0,diesel
01052,120.0,0.0,1.0,81.0,2.0,1.0,1.0,39.32038834951456,58.252427184466015,0.48543689320388345,diesel
01053,12939.0,68.0,310.0,10117.0,518.0,109.0,255.0,41.606349728573775,53.21187695344629,1.2748807369633164,diesel
01054,552.0,2.0,17.0,385.0,25.0,5.0,7.0,38.77139979859013,55.58912386706949,1.7119838872104733,diesel
01056,127.0,3.0,4.0,66.0,4.0,3.0,2.0,31.57894736842105,60.76555023923444,1.9138755980861244,diesel
01057,216.0,1.0,2.0,122.0,9.0,2.0,1.0,34.56090651558073,61.18980169971672,0.56657223796034,diesel
01058,365.0,0.0,7.0,176.0,10.0,9.0,1.0,30.985915492957744,64.26056338028168,1.232394366197183,diesel
01060,231.0,1.0,4.0,122.0,5.0,4.0,1.0,33.15217391304348,62.77173913043478,1.0869565217391304,diesel
01061,484.0,0.0,2.0,321.0,7.0,5.0,3.0,39.05109489051095,58.88077858880778,0.24330900243309003,diesel
01062,355.0,2.0,15.0,279.0,20.0,2.0,3.0,41.27218934911242,52.51479289940828,2.2189349112426036,diesel
01063,251.0,4.0,6.0,160.0,8.0,5.0,6.0,36.36363636363637,57.04545454545455,1.3636363636363635,diesel
01064,501.0,4.0,3.0,238.0,10.0,4.0,3.0,31.19266055045872,65.66186107470512,0.39318479685452157,diesel
01065,686.0,1.0,11.0,562.0,26.0,4.0,8.0,43.29738058551618,52.85053929121726,0.847457627118644,diesel
01066,37.0,0.0,0.0,22.0,1.0,2.0,1.0,34.92063492063492,58.730158730158735,0.0,diesel
01067,106.0,0.0,1.0,68.0,6.0,0.0,0.0,37.569060773480665,58.5635359116022,0.5524861878453038,diesel
01068,299.0,3.0,4.0,157.0,6.0,2.0,2.0,33.192389006342495,63.213530655391125,0.8456659619450317,diesel
01069,554.0,3.0,6.0,450.0,27.0,4.0,8.0,42.77566539923954,52.661596958174904,0.5703422053231939,diesel
01071,1449.0,7.0,103.0,1822.0,152.0,4.0,56.0,50.70971333147788,40.32841636515447,2.866685221263568,essence
01072,1061.0,4.0,24.0,918.0,47.0,8.0,13.0,44.24096385542169,51.132530120481924,1.1566265060240963,diesel
01073,407.0,0.0,7.0,304.0,8.0,2.0,1.0,41.70096021947874,55.82990397805213,0.9602194787379973,diesel
01074,895.0,2.0,17.0,563.0,19.0,10.0,9.0,37.16171617161716,59.07590759075908,1.1221122112211221,diesel
01075,565.0,1.0,5.0,340.0,16.0,3.0,9.0,36.2087326943557,60.17039403620873,0.5324813631522897,diesel
01076,63.0,0.0,0.0,37.0,2.0,0.0,0.0,36.27450980392157,61.76470588235294,0.0,diesel
01077,89.0,0.0,0.0,35.0,3.0,0.0,0.0,27.559055118110237,70.07874015748031,0.0,diesel
01078,365.0,4.0,18.0,513.0,30.0,2.0,8.0,54.57446808510639,38.82978723404255,1.9148936170212765,essence
01079,277.0,1.0,2.0,167.0,5.0,1.0,1.0,36.784140969163,61.013215859030836,0.4405286343612335,diesel
01080,262.0,3.0,3.0,151.0,4.0,1.0,2.0,35.44600938967136,61.502347417840376,0.7042253521126761,diesel
01081,369.0,3.0,3.0,160.0,7.0,1.0,1.0,29.411764705882355,67.83088235294117,0.5514705882352942,diesel
01082,216.0,0.0,4.0,150.0,6.0,2.0,3.0,39.37007874015748,56.69291338582677,1.0498687664041995,diesel
01083,412.0,3.0,5.0,237.0,8.0,4.0,1.0,35.373134328358205,61.49253731343284,0.7462686567164178,diesel
