COMMUNE_CODE,PARC_2011,PARC_2022,evo_11_22
01405,0,9,inf
01406,0,1,inf
01407,0,3,inf
01408,0,4,inf
01410,0,1,inf
01411,0,0,
01412,0,3,inf
01415,0,3,inf
01416,0,5,inf
01418,0,15,inf
01419,0,89,inf
01420,0,4,inf
01421,0,8,inf
01422,0,17,inf
01423,0,12,inf
01424,0,18,inf
01425,0,1,inf
01426,1,20,1900.0
01427,0,58,inf
01428,0,3,inf
01429,0,5,inf
01430,0,6,inf
01431,0,13,inf
01432,0,2,inf
01433,0,1,inf
01434,0,3,inf
01435,0,34,inf
01436,0,6,inf
01437,0,0,
01439,0,1,inf
01441,0,1,inf
01443,0,26,inf
01444,0,8,inf
01445,0,3,inf
01446,0,13,inf
01447,0,7,inf
01448,0,3,inf
01449,0,7,inf
01450,0,37,inf
01451,0,49,inf
01452,0,3,inf
01453,0,3,inf
01454,0,5,inf
01456,0,1,inf
01457,0,18,inf
02001,0,2,inf
02002,0,1,inf
02003,0,4,inf
02008,0,2,inf
02009,0,1,inf
02011,0,6,inf
02012,0,0,
02013,0,1,inf
02014,0,6,inf
02017,0,3,inf
02018,0,13,inf
02019,0,0,
02020,0,2,inf
02022,0,3,inf
02023,0,0,
02025,0,2,inf
02027,0,2,inf
02028,0,14,inf
02029,0,2,inf
02030,0,0,
02031,0,1,inf
02032,0,1,inf
02033,0,1,inf
02035,0,1,inf
02037,0,4,inf
02039,0,1,inf
02041,0,3,inf
02042,0,1,inf
02046,0,1,inf
02048,0,0,
02049,0,2,inf
02050,0,2,inf
02053,0,2,inf
02054,0,3,inf
02057,0,3,inf
02058,0,4,inf
02059,0,6,inf
02060,0,0,
02062,0,0,
02063,0,5,inf
02064,0,19,inf
02065,0,1,inf
02067,0,1,inf
02070,0,2,inf
02071,0,7,inf
02072,0,0,
02073,0,1,inf
02074,0,1,inf
02075,0,2,inf
02077,0,2,inf
02079,0,1,inf
02080,0,1,inf
02081,0,1,inf
02083,0,10,inf
02085,0,5,inf
02086,0,3,inf
02088,0,2,inf
02089,0,16,inf
02090,0,3,inf
02091,0,0,
02093,0,2,inf
02094,0,3,inf
02095,0,7,inf
02097,0,3,inf
02098,0,1,inf
02102,0,2,inf
02103,0,1,inf
02104,0,2,inf
02105,0,3,inf
02106,0,2,inf
02108,0,1,inf
02109,0,1,inf
02110,0,5,inf
02111,0,2,inf
02112,0,2,inf
02114,0,2,inf
02116,0,1,inf
02118,0,1,inf
02119,0,1,inf
02120,0,2,inf
02121,0,1,inf
02122,0,1,inf
02123,0,1,inf
02124,0,1,inf
02125,0,1,inf
02128,0,4,inf
02131,0,11,inf
02132,0,1,inf
02134,0,3,inf
02135,0,4,inf
02137,0,2,inf
02139,0,2,inf
02141,0,1,inf
02142,0,2,inf
02145,0,1,inf
02146,0,0,
02153,0,4,inf
02154,0,2,inf
02155,0,0,
02156,0,2,inf
02157,0,24,inf
02158,0,1,inf
02159,0,0,
02160,0,1,inf
02163,0,10,inf
02164,0,2,inf
02165,0,6,inf
02166,0,5,inf
02167,0,1,inf
02168,0,80,inf
02171,0,1,inf
02172,0,0,
02173,0,50,inf
02174,0,2,inf
02179,0,3,inf
02180,0,2,inf
02183,0,1,inf
02184,0,1,inf
02185,0,4,inf
02186,0,2,inf
02187,0,6,inf
02189,0,2,inf
02190,0,2,inf
02191,0,4,inf
02192,0,1,inf
02195,0,2,inf
02196,0,2,inf
02197,0,1,inf
02198,0,1,inf
02199,0,1,inf
02201,0,4,inf
02203,0,3,inf
02205,0,0,
02209,0,1,inf
02210,0,2,inf
02211,0,1,inf
02212,0,7,inf
02213,0,3,inf
02215,0,6,inf
02216,0,0,
02217,0,2,inf
02218,0,2,inf
02219,0,2,inf
02220,0,6,inf
02226,0,3,inf
02227,0,1,inf
02228,0,3,inf
02231,0,3,inf
02232,0,3,inf
02234,0,1,inf
02237,0,5,inf
02238,0,4,inf
02239,0,1,inf
02242,0,4,inf
02243,0,5,inf
02244,0,0,
02245,0,5,inf
02246,0,1,inf
02248,0,1,inf
02249,0,1,inf
02252,0,1,inf
02254,0,1,inf
02257,0,5,inf
02258,0,2,inf
02259,0,1,inf
02260,0,2,inf
02263,0,1,inf
02264,0,1,inf
02267,0,2,inf
02268,0,5,inf
02272,0,1,inf
02273,0,2,inf
02277,0,2,inf
02279,0,2,inf
02280,0,3,inf
02281,0,1,inf
02282,0,1,inf
02286,0,1,inf
02287,0,5,inf
02288,0,3,inf
02289,0,1,inf
02290,0,12,inf
02291,0,0,
02292,0,5,inf
02293,0,2,inf
02294,0,0,
02296,0,6,inf
02298,0,4,inf
02299,0,3,inf
02302,0,1,inf
02303,0,12,inf
02304,0,5,inf
02305,0,6,inf
02306,0,1,inf
02307,0,3,inf
02309,0,1,inf
02312,0,2,inf
02313,0,1,inf
02315,0,2,inf
02318,0,4,inf
